"","participant","ffold","pballs","cballs_win","cballs_lose","name"
"1",1,6.797623888,2,0,5,"L"
"2",2,5.428397943,4,0,2,"S"
"3",3,-0.788573321,3,0,6,"K"
"4",4,5.266788352,3,2,4,"M"
"5",5,3.739142739,3,0,2,"L"
"6",6,4.981194995,2,1,0,"Q"
"7",7,1.107274819,5,1,1,"J"
"8",8,-9.450918575,3,0,1,"P"
"9",9,8.148207461,3,3,2,"O"
"10",10,-8.064001728,2,1,0,"U"
"11",11,-3.135190104,3,1,2,"K"
"12",12,3.75738131,4,1,1,"O"
"13",13,4.318076976,4,1,1,"J"
"14",14,0.365628994,4,3,2,"L"
"15",15,-1.510765947,8,3,2,"H"
"16",16,-1.610647451,2,1,0,"G"
"17",17,12.65027194,4,2,1,"I"
"18",18,9.21151695,2,0,3,"Y"
"19",19,4.450777811,1,1,1,"N"
"20",20,4.341183592,3,2,0,"K"
"21",21,-9.208933078,7,0,4,"P"
"22",22,6.615853843,1,0,1,"O"
"23",23,-3.996706753,3,0,1,"N"
"24",24,13.77362498,4,2,3,"K"
"25",25,8.743893207,2,4,2,"L"
"26",26,0.951840767,1,2,3,"P"
"27",27,0.791653697,5,1,3,"O"
"28",28,13.80207781,2,0,4,"N"
"29",29,9.776220466,5,0,1,"K"
"30",30,0.0704963,0,1,3,"I"
"31",31,-0.542862249,1,2,1,"P"
"32",32,2.537694626,3,1,2,"K"
"33",33,-5.888890848,5,3,3,"R"
"34",34,3.203002305,7,0,1,"Q"
"35",35,18.6873128,8,1,4,"U"
"36",36,3.045966014,2,3,3,"O"
"37",37,-2.916536826,2,0,1,"Q"
"38",38,8.54287876,3,0,1,"O"
"39",39,6.750790053,2,2,2,"O"
"40",40,5.870042943,1,1,0,"M"
"41",41,-0.116410719,4,3,2,"R"
"42",42,11.61802962,5,1,3,"M"
"43",43,-1.026795471,5,1,1,"O"
"44",44,5.74779218,1,0,6,"K"
"45",45,-7.924500423,4,2,0,"Q"
"46",46,-5.609296642,4,0,4,"M"
"47",47,7.289942505,3,1,3,"P"
"48",48,12.60632131,2,0,1,"O"
"49",49,3.75780657,2,1,1,"U"
"50",50,2.945278965,2,0,1,"I"
"51",51,7.94735045,5,1,4,"I"
"52",52,-10.62868588,4,1,2,"M"
"53",53,-5.708524325,2,0,5,"N"
"54",54,4.146609937,3,1,3,"N"
"55",55,5.88944424,5,0,2,"Q"
"56",56,3.858364517,1,0,5,"S"
"57",57,-8.21590348,5,0,2,"Q"
"58",58,0.330308588,2,1,0,"X"
"59",59,2.438731774,0,1,3,"J"
"60",60,10.23893698,2,4,2,"S"
"61",61,1.559672009,9,1,2,"K"
"62",62,0.852424151,4,0,1,"J"
"63",63,2.523644539,4,1,0,"K"
"64",64,1.504434396,2,3,0,"K"
"65",65,4.425919179,4,4,2,"M"
"66",66,-0.828594384,6,3,3,"H"
"67",67,3.248482591,3,3,3,"M"
"68",68,-0.688587938,8,1,2,"H"
"69",69,-2.467098535,3,2,4,"G"
"70",70,8.149103709,5,0,1,"M"
"71",71,-6.196590896,2,1,1,"L"
"72",72,6.569982844,1,0,1,"N"
"73",73,2.59165363,2,0,1,"O"
